store,date,avg_diff,avg_g,total_diff,note
エスパス秋葉原駅前店 ,1/31(⾦),74,5171,37721,Lスマスロとある魔術の禁書⽬録
エスパス秋葉原駅前店 ,1/30(⽊),126,3273,64504,"1/29(⽔) +128 3,340 +65,197 にゃんこ⼤戦争 超神速"
エスパス秋葉原駅前店 ,1/28(⽕),75,3361,38192,にゃんこ⼤戦争 超神速
エスパス秋葉原駅前店 ,1/27(⽉),14,3286,7531,"1/26(⽇) -196 5,063 -99,887 Lスマスロとある魔術の禁書⽬録"
エスパス秋葉原駅前店 ,1/25(⼟),33,5097,17132,Lパチスロからくりサーカス
エスパス秋葉原駅前店 ,1/24(⾦),205,4303,104347,スロット Re:ゼロから始める異世界⽣活 season2
エスパス秋葉原駅前店 ,1/23(⽊),68,2869,34922,"1/22(⽔) -210 3,166 -107,057"
エスパス秋葉原駅前店 ,1/21(⽕),239,4184,121573,Lパチスロ⾰命機ヴァルヴレイヴ
エスパス秋葉原駅前店 ,1/20(⽉),306,3943,155617,Lパチスロ⾰命機ヴァルヴレイヴ
エスパス秋葉原駅前店 ,1/19(⽇),452,5335,230087,Lパチスロ戦姫絶唱シンフォギア 正義の歌
エスパス秋葉原駅前店 ,1/18(⼟),-31,4777,-15974,Lパチスロガールズ＆パンツァー 最終章
エスパス秋葉原駅前店 ,1/17(⾦),327,4079,166231,スマスロ頭⽂字D 2nd
エスパス秋葉原駅前店 ,1/16(⽊),11,3265,5926,"1/15(⽔) +38 3,519 +19,716"
エスパス秋葉原駅前店 ,1/14(⽕),228,3928,116247,L 真・⼀騎当千
エスパス秋葉原駅前店 ,1/13(⽉),-285,4429,-145090,Lパチスロ炎炎ノ消防隊
エスパス秋葉原駅前店 ,1/12(⽇),389,5398,197829,ジャグラーガールズSS
エスパス秋葉原駅前店 ,1/11(⼟),101,5580,51544,末尾1
エスパス秋葉原駅前店 ,1/10(⾦),115,4189,58524,Lパチスロ かぐや様は告らせたい
エスパス秋葉原駅前店 ,1/9(⽊),-207,2813,-105365,パチスロ ディスクアップ２
エスパス秋葉原駅前店 ,1/8(⽔),33,2472,16967,"1/7(⽕) +18 2,768 +9,540 サラリーマン⾦太郎〜MAX〜"
エスパス秋葉原駅前店 ,1/6(⽉),0,4079,113,コードギアス反逆のルルーシュ3 C.C.&Kallen ver.
エスパス秋葉原駅前店 ,1/5(⽇),72,4117,36861,ハッピージャグラーＶＩＩＩ
エスパス秋葉原駅前店 ,1/4(⼟),13,4753,7060,Lバンドリ！
エスパス秋葉原駅前店 ,1/3(⾦),39,5093,20110,Lパチスロ炎炎ノ消防隊
エスパス秋葉原駅前店 ,1/2(⽊),199,4432,101245,Lルパン三世 ⼤航海者の秘宝
エスパス秋葉原駅前店 ,1/1(⽔),50,4379,25402,Lパチスロ かぐや様は告らせたい
エスパス秋葉原駅前店 ,2024/12/31(⽕),179,5078,91421,Lパチスロ かぐや様は告らせたい
エスパス秋葉原駅前店 ,2024/12/30(⽉),-145,5353,-73749,聖戦⼠ダンバイン
エスパス秋葉原駅前店 ,2024/12/29(⽇),386,5386,196487,Re:ゼロから始める異世界⽣活
エスパス秋葉原駅前店 ,2024/12/28(⼟),-33,5214,-17144,スロット Re:ゼロから始める異世界⽣活 season2
エスパス秋葉原駅前店 ,2024/12/27(⾦),398,5563,202218,スマスロ ゴッドイーター リザレクション
エスパス秋葉原駅前店 ,2024/12/26(⽊),-240,4175,-122311,"2024/12/25(⽔) +151 4,123 +76,775 Lスマスロとある魔術の禁書⽬録"
エスパス秋葉原駅前店 ,2024/12/24(⽕),306,4521,155677,Re:ゼロから始める異世界⽣活
エスパス秋葉原駅前店 ,2024/12/23(⽉),178,3516,90432,Lパチスロ閃乱カグラ2 SHINOVI MASTER
エスパス秋葉原駅前店 ,2024/12/22(⽇),144,4773,73245,バンドリ！
エスパス秋葉原駅前店 ,2024/12/21(⼟),-233,4719,-118679,ルパン三世 ⼤航海者の秘宝
エスパス秋葉原駅前店 ,2024/12/20(⾦),75,3690,38604,Lパチスロ かぐや様は告らせたい
エスパス秋葉原駅前店 ,2024/12/19(⽊),103,2685,52645,Lソードアート・オンライン
エスパス秋葉原駅前店 ,2024/12/18(⽔),281,4671,143053,末尾5
エスパス秋葉原駅前店 ,2024/12/17(⽕),-105,2656,-53774,モンスターハンターライズ
エスパス秋葉原駅前店 ,2024/12/16(⽉),-183,4153,-93048,⽝夜叉2
